epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1704.07,1.00105,1.11297,1.33247,0.92512,0.97106,0.995,0.70516,0.58312,0.44847,0.63847,0.000141009,0.000141009,0.000141009
93,1722.45,0.98623,1.10706,1.32231,0.9329,0.97601,0.995,0.67618,0.63751,0.40285,0.65665,0.000140668,0.000140668,0.000140668
94,1740.82,0.96981,1.08656,1.33331,0.94111,0.97902,0.995,0.68332,0.63282,0.42796,0.65405,0.000140328,0.000140328,0.000140328
95,1759.06,1.00203,1.10293,1.34742,0.92664,0.96459,0.995,0.70778,0.58396,0.40922,0.63089,0.000139987,0.000139987,0.000139987
96,1777.23,1.02203,1.08114,1.31736,0.9406,0.98089,0.995,0.70389,0.58904,0.3937,0.63359,0.000139647,0.000139647,0.000139647
97,1795.62,0.99428,1.1022,1.36596,0.94401,0.99318,0.995,0.65087,0.66649,0.41639,0.6799,0.000139306,0.000139306,0.000139306
98,1814.05,0.98774,1.03852,1.31697,0.89293,0.97293,0.995,0.70133,0.6007,0.37219,0.63598,0.000138966,0.000138966,0.000138966
99,1832.65,0.99421,1.0647,1.34099,0.94124,0.96812,0.995,0.72225,0.5509,0.41876,0.61531,0.000138625,0.000138625,0.000138625
100,1851.4,0.95609,1.06788,1.29751,0.91868,0.98172,0.995,0.67063,0.62392,0.46521,0.65672,0.000138285,0.000138285,0.000138285
101,1870.07,0.99952,1.06404,1.33821,0.93078,0.97535,0.995,0.72267,0.57586,0.39285,0.61982,0.000137944,0.000137944,0.000137944
102,1888.46,0.96725,0.99884,1.3263,0.92887,0.99066,0.995,0.7127,0.5843,0.39556,0.62511,0.000137603,0.000137603,0.000137603
103,1906.8,0.99033,1.03567,1.33776,0.924,0.97617,0.995,0.71571,0.60055,0.39285,0.62779,0.000137263,0.000137263,0.000137263
104,1925.07,0.97386,1.01955,1.28416,0.94837,0.97018,0.995,0.70795,0.57542,0.40635,0.62335,0.000136922,0.000136922,0.000136922
105,1943.48,1.06469,1.07032,1.3449,0.94865,0.97298,0.995,0.7288,0.56786,0.46699,0.61429,0.000136582,0.000136582,0.000136582
106,1961.85,0.97275,1.01343,1.31848,0.91811,0.97108,0.995,0.70183,0.60389,0.54989,0.63406,0.000136241,0.000136241,0.000136241
107,1980.18,0.99067,1.0167,1.31058,0.91879,0.97431,0.995,0.70092,0.60939,0.37571,0.6335,0.000135901,0.000135901,0.000135901
108,1998.44,1.00439,0.99971,1.33733,0.94262,0.98002,0.995,0.71126,0.58971,0.35015,0.62917,0.00013556,0.00013556,0.00013556
109,2016.77,0.9887,0.96039,1.29312,0.94607,0.98409,0.995,0.67065,0.64894,0.40039,0.66452,0.00013522,0.00013522,0.00013522
110,2035.02,0.94271,0.94058,1.2818,0.9358,0.98634,0.995,0.69943,0.6167,0.38552,0.64079,0.000134879,0.000134879,0.000134879
111,2053.18,0.96571,0.96322,1.3003,0.92147,0.97409,0.995,0.68513,0.625,0.36406,0.64416,0.000134538,0.000134538,0.000134538
112,2071.38,0.97461,0.95872,1.30195,0.95136,0.96519,0.995,0.7067,0.59711,0.35192,0.63035,0.000134198,0.000134198,0.000134198
113,2089.71,0.94691,0.93,1.29559,0.925,0.98356,0.995,0.72581,0.58355,0.41166,0.62731,0.000133857,0.000133857,0.000133857
114,2108.05,0.98323,0.96324,1.30576,0.9109,0.96808,0.995,0.72306,0.58771,0.40307,0.63192,0.000133517,0.000133517,0.000133517
115,2126.22,1.00061,0.96405,1.29775,0.94721,0.97316,0.995,0.72482,0.56727,0.35135,0.61617,0.000133176,0.000133176,0.000133176
116,2143.18,0.93086,0.95261,1.26412,0.94726,0.97854,0.995,0.7259,0.58134,0.47285,0.62517,0.000132836,0.000132836,0.000132836
117,2160,0.93062,0.8903,1.25858,0.90824,0.97674,0.995,0.69567,0.62648,0.34922,0.64653,0.000132495,0.000132495,0.000132495
118,2176.81,0.94141,0.93429,1.25367,0.93281,0.97127,0.995,0.66714,0.66409,0.3538,0.6686,0.000132154,0.000132154,0.000132154
119,2193.63,0.95625,0.9391,1.27561,0.92752,0.97471,0.995,0.67044,0.72426,0.40494,0.70993,0.000131814,0.000131814,0.000131814
120,2210.45,0.97329,0.9525,1.28814,0.89938,0.98796,0.995,0.69601,0.6396,0.40056,0.65042,0.000131473,0.000131473,0.000131473
121,2227.3,0.96222,0.92577,1.29365,0.94267,0.97882,0.995,0.71676,0.59443,0.35347,0.62685,0.000131133,0.000131133,0.000131133
122,2244.08,0.96722,0.90323,1.29503,0.93561,0.98394,0.995,0.69529,0.61492,0.35091,0.63881,0.000130792,0.000130792,0.000130792
123,2260.88,0.9392,0.90329,1.26583,0.94601,0.97962,0.995,0.68831,0.61617,0.40143,0.64528,0.000130452,0.000130452,0.000130452
124,2277.64,0.94545,0.91966,1.31075,0.92555,0.99125,0.995,0.7083,0.58922,0.38547,0.63213,0.000130111,0.000130111,0.000130111
125,2294.46,0.92946,0.88148,1.26936,0.95783,0.99019,0.995,0.71958,0.56893,0.33798,0.6175,0.000129771,0.000129771,0.000129771
126,2311.21,0.94627,0.90617,1.2929,0.95345,0.99022,0.995,0.73341,0.57268,0.37522,0.6151,0.00012943,0.00012943,0.00012943
127,2328.09,0.93903,0.91459,1.27814,0.94392,0.96559,0.995,0.7166,0.60505,0.33146,0.62681,0.000129089,0.000129089,0.000129089
128,2344.9,0.92169,0.88054,1.27036,0.8992,0.98508,0.995,0.70702,0.60209,0.32655,0.62962,0.000128749,0.000128749,0.000128749
129,2361.7,0.93859,0.93778,1.26554,0.94427,0.98565,0.995,0.68934,0.62408,0.33521,0.64889,0.000128408,0.000128408,0.000128408
130,2378.57,0.93797,0.89668,1.27717,0.96185,0.98844,0.995,0.70217,0.60078,0.42452,0.63265,0.000128068,0.000128068,0.000128068
131,2395.44,0.905,0.87095,1.26959,0.94407,0.98343,0.995,0.71297,0.61061,0.34306,0.63378,0.000127727,0.000127727,0.000127727
132,2412.32,0.95549,0.90714,1.30692,0.93414,0.99072,0.995,0.69732,0.61528,0.34965,0.63574,0.000127387,0.000127387,0.000127387
133,2429.28,0.93175,0.85178,1.25424,0.96111,0.98919,0.995,0.70692,0.59827,0.38308,0.63187,0.000127046,0.000127046,0.000127046
134,2446.17,0.96678,0.84369,1.2585,0.90169,0.97949,0.995,0.68383,0.61568,0.47682,0.6432,0.000126706,0.000126706,0.000126706
135,2463.05,0.91908,0.87026,1.2618,0.95281,0.9858,0.995,0.69786,0.61177,0.40634,0.63992,0.000126365,0.000126365,0.000126365
136,2479.95,0.949,0.8843,1.25963,0.92507,0.98487,0.995,0.70327,0.5885,0.32859,0.63167,0.000126024,0.000126024,0.000126024
137,2496.92,0.89629,0.84419,1.2563,0.93954,0.97817,0.995,0.70176,0.62203,0.36894,0.64506,0.000125684,0.000125684,0.000125684
138,2513.89,0.91901,0.87004,1.2896,0.93127,0.97784,0.995,0.68168,0.62616,0.36323,0.6526,0.000125343,0.000125343,0.000125343
139,2530.75,0.9515,0.88779,1.30115,0.93961,0.96717,0.995,0.71999,0.60024,0.371,0.63039,0.000125003,0.000125003,0.000125003
140,2547.6,0.91366,0.82224,1.26575,0.95681,0.99624,0.995,0.72993,0.55879,0.41008,0.60898,0.000124662,0.000124662,0.000124662
141,2564.44,0.90571,0.83132,1.24846,0.95239,0.98352,0.995,0.68899,0.64154,0.34891,0.65397,0.000124322,0.000124322,0.000124322
142,2581.25,0.90552,0.79716,1.22856,0.95208,0.98535,0.995,0.70586,0.61721,0.30072,0.64791,0.000123981,0.000123981,0.000123981
143,2598,0.90745,0.79121,1.21724,0.94419,0.98613,0.995,0.72008,0.58757,0.31724,0.62773,0.00012364,0.00012364,0.00012364
144,2614.82,0.88523,0.83039,1.24081,0.93331,0.98593,0.995,0.71303,0.58608,0.30765,0.63331,0.0001233,0.0001233,0.0001233
145,2631.61,0.89827,0.80899,1.21351,0.95677,0.96213,0.995,0.67948,0.63368,0.31953,0.66264,0.000122959,0.000122959,0.000122959
146,2648.49,0.93932,0.81551,1.2653,0.94905,0.99074,0.995,0.71374,0.59283,0.3108,0.6301,0.000122619,0.000122619,0.000122619
147,2665.44,0.89752,0.81175,1.23808,0.97139,0.98613,0.995,0.71682,0.57014,0.32069,0.61759,0.000122278,0.000122278,0.000122278
148,2682.25,0.86652,0.77638,1.21413,0.94475,0.98692,0.995,0.72406,0.56262,0.34193,0.61542,0.000121938,0.000121938,0.000121938
149,2699.09,0.88971,0.79772,1.23022,0.93563,0.98526,0.995,0.69643,0.59382,0.34082,0.63331,0.000121597,0.000121597,0.000121597
150,2715.91,0.92259,0.81644,1.24545,0.94684,0.98261,0.995,0.71118,0.56974,0.31635,0.619,0.000121257,0.000121257,0.000121257
151,2732.73,0.88195,0.81956,1.22294,0.95906,0.98265,0.995,0.70739,0.61545,0.33659,0.63681,0.000120916,0.000120916,0.000120916
152,2749.58,0.8985,0.78933,1.24794,0.96337,0.9894,0.995,0.7131,0.60223,0.69891,0.63033,0.000120575,0.000120575,0.000120575
153,2766.43,0.88161,0.77112,1.22995,0.95415,0.98616,0.995,0.70484,0.61584,0.32023,0.63616,0.000120235,0.000120235,0.000120235
154,2783.24,0.88722,0.77487,1.18074,0.95325,0.99252,0.995,0.71187,0.59437,0.31621,0.627,0.000119894,0.000119894,0.000119894
155,2800.01,0.87456,0.74089,1.22803,0.95317,0.9915,0.995,0.71627,0.59407,0.31385,0.62933,0.000119554,0.000119554,0.000119554
156,2817,0.86078,0.77805,1.22662,0.92649,0.9877,0.995,0.72423,0.56938,0.33258,0.61674,0.000119213,0.000119213,0.000119213
